inst,rule,tp,sl,period,days,win,tp20,ge18,exp_pips
EURUSD,buy,20.0,30.0,A 2021-23,776,0.5737747150125587,11.471649484536082,0.19329896907216496,-1.3112642493720617
EURUSD,buy,20.0,30.0,B 2024-26,679,0.5682887386062923,11.357879234167894,0.21354933726067746,-1.5855630696853866
EURUSD,buy,20.0,50.0,A 2021-23,776,0.6816513170606041,13.630154639175258,0.37757731958762886,-2.2844078057577124
EURUSD,buy,20.0,50.0,B 2024-26,679,0.689062040576301,13.774668630338734,0.42415316642120765,-1.765657159658924
EURUSD,buy,20.0,75.0,A 2021-23,776,0.7610613769562697,15.219072164948454,0.520618556701031,-2.699169189154376
EURUSD,buy,20.0,75.0,B 2024-26,679,0.7762422816818583,15.521354933726068,0.5920471281296024,-1.2569832402234637
EURUSD,buy,20.0,100.0,A 2021-23,776,0.8088491015650158,16.175257731958762,0.6262886597938144,-2.9381078121981066
EURUSD,buy,20.0,100.0,B 2024-26,679,0.8255660099970596,16.50957290132548,0.6848306332842415,-0.9320788003528374
EURUSD,buy,20.0,150.0,A 2021-23,776,0.856958845881368,17.137886597938145,0.7306701030927835,-4.310117859212983
EURUSD,buy,20.0,150.0,B 2024-26,679,0.8798147603645986,17.596465390279825,0.7790868924889544,-0.420317553660688
EURUSD,buy,20.0,200.0,A 2021-23,776,0.8831068461389837,17.661082474226806,0.7822164948453608,-5.2216268435628255
EURUSD,buy,20.0,200.0,B 2024-26,679,0.9034842693325492,18.06921944035346,0.8173784977908689,-0.8410761540723312
EURUSD,buy,20.0,300.0,A 2021-23,776,0.912603851355703,18.251288659793815,0.8350515463917526,-4.759258066593674
EURUSD,buy,20.0,300.0,B 2024-26,679,0.921420170538077,18.427098674521353,0.8527245949926362,-2.259269332549248
EURUSD,buy,20.0,450.0,A 2021-23,776,0.9208475558704192,18.41623711340206,0.8505154639175257,-5.281896052038377
EURUSD,buy,20.0,450.0,B 2024-26,679,0.9264187003822405,18.527245949926364,0.8615611192930781,-1.3495589532490382
EURUSD,buy,20.0,600.0,A 2021-23,776,0.9218136149932376,18.435567010309278,0.8518041237113402,-4.184175951568229
EURUSD,buy,20.0,600.0,B 2024-26,679,0.9264187003822405,18.527245949926364,0.8615611192930781,-0.6876800940899674
EURUSD,buy,20.0,900.0,A 2021-23,776,0.9218136149932376,18.435567010309278,0.8518041237113402,-3.886101629419713
EURUSD,buy,20.0,900.0,B 2024-26,679,0.9264187003822405,18.527245949926364,0.8615611192930781,-0.6299397236106966
EURUSD,buy,20.0,1200.0,A 2021-23,776,0.9218136149932376,18.435567010309278,0.8518041237113402,-3.886101629419713
EURUSD,buy,20.0,1200.0,B 2024-26,679,0.9264187003822405,18.527245949926364,0.8615611192930781,-0.6299397236106966
EURUSD,buy,30.0,30.0,A 2021-23,776,0.4727249307657629,9.449742268041238,0.13788659793814434,-1.6365041540542282
EURUSD,buy,30.0,30.0,B 2024-26,679,0.46964128197588945,9.391752577319588,0.17378497790868924,-1.8215230814466334
EURUSD,buy,30.0,50.0,A 2021-23,776,0.5892960649191731,11.782216494845361,0.3015463917525773,-2.856314806466156
EURUSD,buy,30.0,50.0,B 2024-26,679,0.6004116436342253,12.011782032400589,0.36082474226804123,-1.9670685092619817
EURUSD,buy,30.0,75.0,A 2021-23,776,0.6846138983705803,13.689432989690722,0.4536082474226804,-3.1155406710890707
EURUSD,buy,30.0,75.0,B 2024-26,679,0.7062628638635695,14.132547864506627,0.5272459499263623,-0.8423992943251984
EURUSD,buy,30.0,100.0,A 2021-23,776,0.7434791009209764,14.867268041237113,0.5708762886597938,-3.347716880273073
EURUSD,buy,30.0,100.0,B 2024-26,679,0.7674948544545722,15.359351988217968,0.6244477172312224,-0.225668920905616
